TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;VL_VENDA_NEGOC;VL_AQUIS_NEGOC;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC
CLASSES - FIF;03.618.010/0001-83;TAGUS FUNDAMENTAL FUNDO DE INVESTIMENTO DE AÇÕES;2025-01-31;Compras a termo a receber;;;2532400;;2025-07-30
CLASSES - FIF;03.618.010/0001-83;TAGUS FUNDAMENTAL FUNDO DE INVESTIMENTO DE AÇÕES;2025-01-31;Obrigações por ações e outros TVM recebidos em empréstimo;;;554000;;2025-07-30
CLASSES - FIF;03.618.010/0001-83;TAGUS FUNDAMENTAL FUNDO DE INVESTIMENTO DE AÇÕES;2025-01-31;Operações Compromissadas;;;964083;;2025-07-30
CLASSES - FIF;03.618.010/0001-83;TAGUS FUNDAMENTAL FUNDO DE INVESTIMENTO DE AÇÕES;2025-01-31;Outras operações passivas e exigibilidades;;;32570;;2025-07-30
CLASSES - FIF;03.618.010/0001-83;TAGUS FUNDAMENTAL FUNDO DE INVESTIMENTO DE AÇÕES;2025-01-31;Valores a pagar;;;3464318;;2025-07-30
CLASSES - FIF;03.618.010/0001-83;TAGUS FUNDAMENTAL FUNDO DE INVESTIMENTO DE AÇÕES;2025-01-31;Valores a receber;;;87075;;2025-07-30
CLASSES - FIF;03.986.889/0001-16;MÔNACO FUNDO DE INVESTIMENTO EM AÇÕES;2025-01-31;Ações;0;104567;11484898;;2025-07-30
CLASSES - FIF;03.986.889/0001-16;MÔNACO FUNDO DE INVESTIMENTO EM AÇÕES;2025-01-31;Certificado ou recibo de depósito de valores mobiliários;;;218538;;2025-07-30
CLASSES - FIF;03.986.889/0001-16;MÔNACO FUNDO DE INVESTIMENTO EM AÇÕES;2025-01-31;Debêntures;;;124116;;2025-07-30
CLASSES - FIF;03.986.889/0001-16;MÔNACO FUNDO DE INVESTIMENTO EM AÇÕES;2025-01-31;Obrigações por ações e outros TVM recebidos em empréstimo;;;1759080;;2025-07-30
CLASSES - FIF;03.986.889/0001-16;MÔNACO FUNDO DE INVESTIMENTO EM AÇÕES;2025-01-31;Opções - Posições lançadas;;;24364;;2025-07-30
CLASSES - FIF;03.986.889/0001-16;MÔNACO FUNDO DE INVESTIMENTO EM AÇÕES;2025-01-31;Opções - Posições titulares;;;176017;;2025-07-30
CLASSES - FIF;03.986.889/0001-16;MÔNACO FUNDO DE INVESTIMENTO EM AÇÕES;2025-01-31;Operações Compromissadas;;;1826596;;2025-07-30
CLASSES - FIF;03.986.889/0001-16;MÔNACO FUNDO DE INVESTIMENTO EM AÇÕES;2025-01-31;Valores a pagar;;;11377;;2025-07-30
CLASSES - FIF;03.986.889/0001-16;MÔNACO FUNDO DE INVESTIMENTO EM AÇÕES;2025-01-31;Valores a receber;;;77629;;2025-07-30
CLASSES - FIF;04.435.076/0001-09;SANTANDER SELEÇÃO MAX AÇÕES - CLASSE DE INVESTIMENTO EM COTAS DE FIF RESP LIMITADA;2025-01-31;Cotas de Fundos;;;7732542;;2025-07-30
CLASSES - FIF;04.435.076/0001-09;SANTANDER SELEÇÃO MAX AÇÕES - CLASSE DE INVESTIMENTO EM COTAS DE FIF RESP LIMITADA;2025-01-31;Disponibilidades;;;5000;;2025-07-30
CLASSES - FIF;04.435.076/0001-09;SANTANDER SELEÇÃO MAX AÇÕES - CLASSE DE INVESTIMENTO EM COTAS DE FIF RESP LIMITADA;2025-01-31;Valores a pagar;;;32363;;2025-07-30
CLASSES - FIF;04.435.076/0001-09;SANTANDER SELEÇÃO MAX AÇÕES - CLASSE DE INVESTIMENTO EM COTAS DE FIF RESP LIMITADA;2025-01-31;Valores a receber;;;30365;;2025-07-30
CLASSES - FIF;04.437.399/0001-23;GUEPARDO C FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;2025-01-31;Cotas de Fundos;;;40854827;;2025-07-30
CLASSES - FIF;04.437.399/0001-23;GUEPARDO C FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;2025-01-31;Disponibilidades;;;45973;;2025-07-30
CLASSES - FIF;04.437.399/0001-23;GUEPARDO C FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;2025-01-31;Valores a pagar;;;65062;;2025-07-30
CLASSES - FIF;04.437.399/0001-23;GUEPARDO C FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;2025-01-31;Valores a receber;;;4006;;2025-07-30
CLASSES - FIF;04.568.129/0001-51;LYNDOS FUNDOS DE INVESTIMENTO DE ACOES;2025-01-31;Ações;39198;278166;6022021;;2025-07-30
CLASSES - FIF;04.568.129/0001-51;LYNDOS FUNDOS DE INVESTIMENTO DE ACOES;2025-01-31;Ações e outros TVM cedidos em empréstimo;;;111340;;2025-07-30
CLASSES - FIF;04.568.129/0001-51;LYNDOS FUNDOS DE INVESTIMENTO DE ACOES;2025-01-31;Certificado ou recibo de depósito de valores mobiliários;;;426862;;2025-07-30
CLASSES - FIF;04.568.129/0001-51;LYNDOS FUNDOS DE INVESTIMENTO DE ACOES;2025-01-31;Cotas de Fundos;;;2062900;;2025-07-30
CLASSES - FIF;04.568.129/0001-51;LYNDOS FUNDOS DE INVESTIMENTO DE ACOES;2025-01-31;Operações Compromissadas;;;64586;;2025-07-30
CLASSES - FIF;04.568.129/0001-51;LYNDOS FUNDOS DE INVESTIMENTO DE ACOES;2025-01-31;Outros valores mobiliários registrados na CVM objeto de oferta pública;;;142;;2025-07-30
CLASSES - FIF;04.568.129/0001-51;LYNDOS FUNDOS DE INVESTIMENTO DE ACOES;2025-01-31;Títulos Públicos;0;0;88435;;2025-07-30
CLASSES - FIF;04.568.129/0001-51;LYNDOS FUNDOS DE INVESTIMENTO DE ACOES;2025-01-31;Valores a pagar;;;7395;;2025-07-30
CLASSES - FIF;04.568.129/0001-51;LYNDOS FUNDOS DE INVESTIMENTO DE ACOES;2025-01-31;Valores a receber;;;17205;;2025-07-30
CLASSES - FIF;04.702.079/0001-53;FUNDO DE INVESTIMENTO EM AÇÕES IP SELEÇÃO;2025-01-31;Ações;21688105;2629064;152030648;;2025-07-30
CLASSES - FIF;04.702.079/0001-53;FUNDO DE INVESTIMENTO EM AÇÕES IP SELEÇÃO;2025-01-31;Ações e outros TVM cedidos em empréstimo;;;7238695;;2025-07-30
CLASSES - FIF;04.702.079/0001-53;FUNDO DE INVESTIMENTO EM AÇÕES IP SELEÇÃO;2025-01-31;Brazilian Depository Receipt - BDR;;;125922448;;2025-07-30
CLASSES - FIF;04.702.079/0001-53;FUNDO DE INVESTIMENTO EM AÇÕES IP SELEÇÃO;2025-01-31;Certificado ou recibo de depósito de valores mobiliários;;;51769822;;2025-07-30
CLASSES - FIF;04.702.079/0001-53;FUNDO DE INVESTIMENTO EM AÇÕES IP SELEÇÃO;2025-01-31;Mercado Futuro - Posições vendidas;;;150309;;2025-07-30
CLASSES - FIF;04.702.079/0001-53;FUNDO DE INVESTIMENTO EM AÇÕES IP SELEÇÃO;2025-01-31;Operações Compromissadas;;;10040885;;2025-07-30
CLASSES - FIF;04.702.079/0001-53;FUNDO DE INVESTIMENTO EM AÇÕES IP SELEÇÃO;2025-01-31;Outros valores mobiliários registrados na CVM objeto de oferta pública;;;13281;;2025-07-30
CLASSES - FIF;04.702.079/0001-53;FUNDO DE INVESTIMENTO EM AÇÕES IP SELEÇÃO;2025-01-31;Valores a pagar;;;258579;;2025-07-30
CLASSES - FIF;04.702.079/0001-53;FUNDO DE INVESTIMENTO EM AÇÕES IP SELEÇÃO;2025-01-31;Valores a receber;;;3302247;;2025-07-30
CLASSES - FIF;04.981.711/0001-45;SANTANDER PB JURUA AÇÕES - FUNDO DE INVESTIMENTO FINANCEIRO;2025-01-31;Ações;0;5312574;11794174;;2025-07-30
CLASSES - FIF;04.981.711/0001-45;SANTANDER PB JURUA AÇÕES - FUNDO DE INVESTIMENTO FINANCEIRO;2025-01-31;Ações e outros TVM cedidos em empréstimo;;;4639812;;2025-07-30
CLASSES - FIF;04.981.711/0001-45;SANTANDER PB JURUA AÇÕES - FUNDO DE INVESTIMENTO FINANCEIRO;2025-01-31;Cotas de Fundos;;;6171136;;2025-07-30
CLASSES - FIF;04.981.711/0001-45;SANTANDER PB JURUA AÇÕES - FUNDO DE INVESTIMENTO FINANCEIRO;2025-01-31;Disponibilidades;;;5013;;2025-07-30
CLASSES - FIF;04.981.711/0001-45;SANTANDER PB JURUA AÇÕES - FUNDO DE INVESTIMENTO FINANCEIRO;2025-01-31;Valores a pagar;;;18132;;2025-07-30
CLASSES - FIF;04.981.711/0001-45;SANTANDER PB JURUA AÇÕES - FUNDO DE INVESTIMENTO FINANCEIRO;2025-01-31;Valores a receber;;;158536;;2025-07-30
CLASSES - FIF;06.035.405/0001-41;GUEPARDO FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM AÇÕES;2025-01-31;Cotas de Fundos;;;142086309;;2025-07-30
CLASSES - FIF;06.035.405/0001-41;GUEPARDO FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM AÇÕES;2025-01-31;Disponibilidades;;;53417;;2025-07-30
CLASSES - FIF;06.035.405/0001-41;GUEPARDO FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM AÇÕES;2025-01-31;Valores a pagar;;;227506;;2025-07-30
CLASSES - FIF;06.035.405/0001-41;GUEPARDO FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM AÇÕES;2025-01-31;Valores a receber;;;16974;;2025-07-30
CLASSES - FIF;06.041.391/0001-79;NÚCLEOS III OCEANA FUNDO DE  INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-01-31;Ações;22558919;24586625;299647346;;2025-07-30
CLASSES - FIF;06.041.391/0001-79;NÚCLEOS III OCEANA FUNDO DE  INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-01-31;Certificado ou recibo de depósito de valores mobiliários;0;0;29084425;;2025-07-30
CLASSES - FIF;06.041.391/0001-79;NÚCLEOS III OCEANA FUNDO DE  INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-01-31;Disponibilidades;;;5000;;2025-07-30
CLASSES - FIF;06.041.391/0001-79;NÚCLEOS III OCEANA FUNDO DE  INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-01-31;Operações Compromissadas;;;8799223;;2025-07-30
CLASSES - FIF;06.041.391/0001-79;NÚCLEOS III OCEANA FUNDO DE  INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-01-31;Outros valores mobiliários registrados na CVM objeto de oferta pública;0;0;47388;;2025-07-30
CLASSES - FIF;06.041.391/0001-79;NÚCLEOS III OCEANA FUNDO DE  INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-01-31;Valores a pagar;;;597115;;2025-07-30
CLASSES - FIF;06.041.391/0001-79;NÚCLEOS III OCEANA FUNDO DE  INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-01-31;Valores a receber;;;4240083;;2025-07-30
CLASSES - FIF;06.134.949/0001-60;SPARTA FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-01-31;Ações;0;945946;54591368;;2025-07-30
CLASSES - FIF;06.134.949/0001-60;SPARTA FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-01-31;Brazilian Depository Receipt - BDR;;;20419723;;2025-07-30
CLASSES - FIF;06.134.949/0001-60;SPARTA FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-01-31;Debêntures;;;410209;;2025-07-30
CLASSES - FIF;06.134.949/0001-60;SPARTA FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-01-31;Outros valores mobiliários registrados na CVM objeto de oferta pública;;;2644;;2025-07-30
CLASSES - FIF;06.964.937/0001-63;OPPORTUNITY SELECTION MASTER FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-01-31;Ações;1148028;22737449;232046039;;2025-07-30
CLASSES - FIF;06.964.937/0001-63;OPPORTUNITY SELECTION MASTER FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-01-31;Ações e outros TVM cedidos em empréstimo;;;17593250;;2025-07-30
CLASSES - FIF;06.964.937/0001-63;OPPORTUNITY SELECTION MASTER FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-01-31;Brazilian Depository Receipt - BDR;;;71459298;;2025-07-30
CLASSES - FIF;06.964.937/0001-63;OPPORTUNITY SELECTION MASTER FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-01-31;Certificado ou recibo de depósito de valores mobiliários;;;21412479;;2025-07-30
CLASSES - FIF;06.964.937/0001-63;OPPORTUNITY SELECTION MASTER FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-01-31;Obrigações por ações e outros TVM recebidos em empréstimo;;;53958486;;2025-07-30
CLASSES - FIF;06.964.937/0001-63;OPPORTUNITY SELECTION MASTER FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-01-31;Opções - Posições lançadas;;;3222727;;2025-07-30
CLASSES - FIF;06.964.937/0001-63;OPPORTUNITY SELECTION MASTER FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-01-31;Opções - Posições titulares;;;526708;;2025-07-30
CLASSES - FIF;06.964.937/0001-63;OPPORTUNITY SELECTION MASTER FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-01-31;Outros valores mobiliários registrados na CVM objeto de oferta pública;;;31405;;2025-07-30
CLASSES - FIF;07.152.170/0001-30;XP INVESTOR CLASSE DE INVESTIMENTO EM AÇÕES - RESP LIMITADA;2025-01-31;Ações;19305491;6500818;114003904;;2025-07-30
CLASSES - FIF;07.152.170/0001-30;XP INVESTOR CLASSE DE INVESTIMENTO EM AÇÕES - RESP LIMITADA;2025-01-31;Certificado ou recibo de depósito de valores mobiliários;1616421;0;16664999;;2025-07-30
CLASSES - FIF;07.152.170/0001-30;XP INVESTOR CLASSE DE INVESTIMENTO EM AÇÕES - RESP LIMITADA;2025-01-31;Cotas de Fundos;19028276;22800822;9679711;;2025-07-30
CLASSES - FIF;07.152.170/0001-30;XP INVESTOR CLASSE DE INVESTIMENTO EM AÇÕES - RESP LIMITADA;2025-01-31;Disponibilidades;;;2000;;2025-07-30
CLASSES - FIF;07.152.170/0001-30;XP INVESTOR CLASSE DE INVESTIMENTO EM AÇÕES - RESP LIMITADA;2025-01-31;Operações Compromissadas;;;9999516;;2025-07-30
CLASSES - FIF;07.152.170/0001-30;XP INVESTOR CLASSE DE INVESTIMENTO EM AÇÕES - RESP LIMITADA;2025-01-31;Valores a pagar;;;618594;;2025-07-30
CLASSES - FIF;07.152.170/0001-30;XP INVESTOR CLASSE DE INVESTIMENTO EM AÇÕES - RESP LIMITADA;2025-01-31;Valores a receber;;;1472886;;2025-07-30
CLASSES - FIF;07.187.517/0001-80;PORTO SFA FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;2025-01-31;Cotas de Fundos;;;301333062;;2025-07-30
CLASSES - FIF;07.187.517/0001-80;PORTO SFA FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;2025-01-31;Disponibilidades;;;26921;;2025-07-30
CLASSES - FIF;07.187.517/0001-80;PORTO SFA FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;2025-01-31;Valores a pagar;;;487359;;2025-07-30
CLASSES - FIF;07.205.740/0001-03;BONANÇA FUNDO DE INVESTIMENTO EM AÇÕES;2025-01-31;Ações;2217700;7240808;38491911;;2025-07-30
CLASSES - FIF;07.205.740/0001-03;BONANÇA FUNDO DE INVESTIMENTO EM AÇÕES;2025-01-31;Ações e outros TVM cedidos em empréstimo;;;1840738;;2025-07-30
CLASSES - FIF;07.205.740/0001-03;BONANÇA FUNDO DE INVESTIMENTO EM AÇÕES;2025-01-31;Certificado ou recibo de depósito de valores mobiliários;;;3159993;;2025-07-30
CLASSES - FIF;07.205.740/0001-03;BONANÇA FUNDO DE INVESTIMENTO EM AÇÕES;2025-01-31;Compras a termo a receber;;;1507600;;2025-07-30
CLASSES - FIF;07.205.740/0001-03;BONANÇA FUNDO DE INVESTIMENTO EM AÇÕES;2025-01-31;Cotas de Fundos;;;8694349;;2025-07-30
CLASSES - FIF;07.205.740/0001-03;BONANÇA FUNDO DE INVESTIMENTO EM AÇÕES;2025-01-31;Opções - Posições lançadas;;;471650;;2025-07-30
CLASSES - FIF;07.205.740/0001-03;BONANÇA FUNDO DE INVESTIMENTO EM AÇÕES;2025-01-31;Opções - Posições titulares;;;90114;;2025-07-30
CLASSES - FIF;07.205.740/0001-03;BONANÇA FUNDO DE INVESTIMENTO EM AÇÕES;2025-01-31;Valores a pagar;;;18284;;2025-07-30
CLASSES - FIF;07.205.740/0001-03;BONANÇA FUNDO DE INVESTIMENTO EM AÇÕES;2025-01-31;Valores a receber;;;1178264;;2025-07-30
CLASSES - FIF;07.670.115/0001-32;ARGUCIA INCOME FUNDO DE INVESTIMENTO FINANCEIRO DE AÇÕES - RESPONSABILIDADE LIMITADA;2025-01-31;Ações;58227;162980;13429390;;2025-07-30
CLASSES - FIF;07.670.115/0001-32;ARGUCIA INCOME FUNDO DE INVESTIMENTO FINANCEIRO DE AÇÕES - RESPONSABILIDADE LIMITADA;2025-01-31;Ações e outros TVM cedidos em empréstimo;;;798112;;2025-07-30
CLASSES - FIF;07.670.115/0001-32;ARGUCIA INCOME FUNDO DE INVESTIMENTO FINANCEIRO DE AÇÕES - RESPONSABILIDADE LIMITADA;2025-01-31;Brazilian Depository Receipt - BDR;;;1048514;;2025-07-30
CLASSES - FIF;07.670.115/0001-32;ARGUCIA INCOME FUNDO DE INVESTIMENTO FINANCEIRO DE AÇÕES - RESPONSABILIDADE LIMITADA;2025-01-31;Opções - Posições titulares;;;343314;;2025-07-30
CLASSES - FIF;07.670.184/0001-46;JABURÁ FUNDO DE INVESTIMENTO FINANCEIRO AÇÕES;2025-01-31;Ações;0;0;123078897;;2025-07-30
CLASSES - FIF;07.670.184/0001-46;JABURÁ FUNDO DE INVESTIMENTO FINANCEIRO AÇÕES;2025-01-31;Ações e outros TVM cedidos em empréstimo;;;11523348;;2025-07-30
CLASSES - FIF;07.670.184/0001-46;JABURÁ FUNDO DE INVESTIMENTO FINANCEIRO AÇÕES;2025-01-31;Compras a termo a receber;;;37544000;;2025-07-30
CLASSES - FIF;07.670.184/0001-46;JABURÁ FUNDO DE INVESTIMENTO FINANCEIRO AÇÕES;2025-01-31;Cotas de Fundos;;;12970483;;2025-07-30
CLASSES - FIF;07.670.184/0001-46;JABURÁ FUNDO DE INVESTIMENTO FINANCEIRO AÇÕES;2025-01-31;Debêntures;;;2832902;;2025-07-30
CLASSES - FIF;07.670.184/0001-46;JABURÁ FUNDO DE INVESTIMENTO FINANCEIRO AÇÕES;2025-01-31;Operações Compromissadas;;;8752261;;2025-07-30
CLASSES - FIF;07.670.184/0001-46;JABURÁ FUNDO DE INVESTIMENTO FINANCEIRO AÇÕES;2025-01-31;Outros valores mobiliários registrados na CVM objeto de oferta pública;;;1056720;;2025-07-30
CLASSES - FIF;07.670.184/0001-46;JABURÁ FUNDO DE INVESTIMENTO FINANCEIRO AÇÕES;2025-01-31;Valores a pagar;;;41373014;;2025-07-30
CLASSES - FIF;07.670.184/0001-46;JABURÁ FUNDO DE INVESTIMENTO FINANCEIRO AÇÕES;2025-01-31;Valores a receber;;;175877;;2025-07-30
CLASSES - FIF;07.946.573/0001-51;1818 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-01-31;Cotas de Fundos;;;32562962;;2025-07-30
CLASSES - FIF;07.946.573/0001-51;1818 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-01-31;Disponibilidades;;;25901;;2025-07-30
CLASSES - FIF;07.946.573/0001-51;1818 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-01-31;Valores a pagar;;;2382;;2025-07-30
CLASSES - FIF;07.946.573/0001-51;1818 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-01-31;Valores a receber;;;16028;;2025-07-30
CLASSES - FIF;07.990.085/0001-41;SANTANDER PB RK EXCLUSIVO AÇÕES - FUNDO DE INVESTIMENTO FINANCEIRO RESP LIMITADA;2025-01-31;Ações;0;0;124252325;;2025-07-30
CLASSES - FIF;07.990.085/0001-41;SANTANDER PB RK EXCLUSIVO AÇÕES - FUNDO DE INVESTIMENTO FINANCEIRO RESP LIMITADA;2025-01-31;Ações e outros TVM cedidos em empréstimo;;;43228842;;2025-07-30
CLASSES - FIF;07.990.085/0001-41;SANTANDER PB RK EXCLUSIVO AÇÕES - FUNDO DE INVESTIMENTO FINANCEIRO RESP LIMITADA;2025-01-31;Cotas de Fundos;;;62527074;;2025-07-30
